Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Category sound	Additional information
375	Spectrogram 1	1	3773.976	3779.829	0	5789.5	Buzz	
376	Spectrogram 1	1	3793.093	3825.897	5052.6	18258.4	Other animal	
377	Spectrogram 1	1	3797.939	3800.805	0	5684.2	Buzz	
378	Spectrogram 1	1	3802.268	3812.329	947.4	6421.1	Bird	low
379	Spectrogram 1	1	3812.817	3818	842.1	6105.3	Bird	
380	Spectrogram 1	1	3830.39	3835.39	1263.2	5578.9	Bird	
381	Spectrogram 1	1	3831.507	3947.678	3215.3	17799	Other animal	
382	Spectrogram 1	1	3837.28	3842.098	0	5578.9	Buzz	
383	Spectrogram 1	1	3841.366	3846.61	1263.2	6947.4	Bird	
384	Spectrogram 1	1	3848.073	3851.732	736.8	6842.1	Bird	
385	Spectrogram 1	1	3852.177	3854.494	2000	7052.6	Bird	
386	Spectrogram 1	1	3857.098	3859.902	0	6210.5	Buzz	
387	Spectrogram 1	1	3858.439	3861.976	947.4	7157.9	Bird	
388	Spectrogram 1	1	3862.646	3875.573	947.4	5684.2	Bird	low
389	Spectrogram 1	1	3865.835	3869.006	1473.7	6315.8	Bird	
390	Spectrogram 1	1	3871.841	3874.829	1578.9	6210.5	Bird	
391	Spectrogram 1	1	3876.72	3880.134	0	8315.8	Buzz	
392	Spectrogram 1	1	3879.829	3883.305	1894.7	6736.8	Bird	
393	Spectrogram 1	1	3884.28	3893.976	1368.4	7157.9	Bird	low
394	Spectrogram 1	1	3888.488	3892.329	1473.7	7894.7	Bird	
395	Spectrogram 1	1	3892.878	3895.896	1484.5	6927.8	Bird	
396	Spectrogram 1	1	3893	3898.244	1263.2	7578.9	Bird	
397	Spectrogram 1	1	3899.037	3902.085	2210.5	7894.7	Bird	
398	Spectrogram 1	1	3902.695	3908.183	1473.7	7894.7	Bird	
399	Spectrogram 1	1	3907.817	3911.171	1947.4	6894.7	Bird	
400	Spectrogram 1	1	3910.5	3914.098	947.4	5789.5	Bird	
401	Spectrogram 1	1	3913.976	3948	2000	6210.5	Bird	
402	Spectrogram 1	1	3918.732	3974.939	0	4842.1	Buzz	
403	Spectrogram 1	1	3919.421	3922.409	3052.6	7894.7	Bird	
404	Spectrogram 1	1	3928.384	3932.104	2684.2	7842.1	Bird	
405	Spectrogram 1	1	3939.585	3941.963	2105.3	6526.3	Bird	
406	Spectrogram 1	1	3947.434	4048.458	4019.1	18373.2	Other animal	
407	Spectrogram 1	1	3949.939	3954.634	2315.8	7894.7	Bird	
408	Spectrogram 1	1	3953.049	3975.671	1684.2	7052.6	Bird	
409	Spectrogram 1	1	3961.707	3965.366	1894.7	7789.5	Bird	
410	Spectrogram 1	1	3973.537	3976.951	2368.4	7315.8	Bird	
411	Spectrogram 1	1	3978.598	4016.061	1684.2	6526.3	Bird	low
412	Spectrogram 1	1	3988.012	3991.183	2315.8	8210.5	Bird	
413	Spectrogram 1	1	3998.378	4002.463	2210.5	6842.1	Bird	
414	Spectrogram 1	1	4013.012	4016.579	1894.7	7578.9	Bird	
415	Spectrogram 1	1	4017.098	4027.951	1789.5	6315.8	Bird	
416	Spectrogram 1	1	4027.415	4031.793	3052.6	7157.9	Bird	
417	Spectrogram 1	1	4031.28	4034.939	1052.6	6526.3	Bird	low
418	Spectrogram 1	1	4034.329	4036.829	0	5368.4	Bird	
419	Spectrogram 1	1	4034.695	4054.817	1684.2	6736.8	Bird	
420	Spectrogram 1	1	4048.519	4138.092	4134	17913.9	Other animal	
421	Spectrogram 1	1	4054.512	4057.988	2210.5	6947.4	Bird	
422	Spectrogram 1	1	4058.049	4061.311	631.6	5072.2	Bird	
423	Spectrogram 1	1	4063.183	4071.537	1894.7	7578.9	Bird	low
424	Spectrogram 1	1	4065.61	4068.902	2947.4	7473.7	Bird	
425	Spectrogram 1	1	4066.719	4104.707	0	9052.6	Buzz	
426	Spectrogram 1	1	4078.61	4080.866	742.3	9030.9	Other animal	
427	Spectrogram 1	1	4081.11	4093.732	1789.5	6736.8	Bird	low
428	Spectrogram 1	1	4089.585	4091.963	2526.3	8210.5	Bird	
429	Spectrogram 1	1	4098.122	4100.805	0	4736.8	Bird	
430	Spectrogram 1	1	4103.915	4108.244	1368.4	5894.7	Bird	
431	Spectrogram 1	1	4108.671	4111.537	0	6736.8	Bird	
432	Spectrogram 1	1	4115.439	4119.28	1684.2	6210.5	Bird	
433	Spectrogram 1	1	4118.854	4122.207	526.3	5157.9	Bird	
434	Spectrogram 1	1	4120.293	4123.159	2947.4	7894.7	Bird	
435	Spectrogram 1	1	4124.317	4128.707	736.8	6210.5	Bird	
436	Spectrogram 1	1	4126.451	4133.28	0	3368.4	Buzz	
437	Spectrogram 1	1	4135.354	4139.012	736.8	4947.4	Bird	
438	Spectrogram 1	1	4137.427	4139.683	2105.3	6105.3	Bird	
439	Spectrogram 1	1	4138.166	4178.166	2181.8	18373.2	Other animal	
440	Spectrogram 1	1	4140.902	4154.195	1684.2	5894.7	Bird	low
441	Spectrogram 1	1	4153.768	4156.299	2052.6	5947.4	Bird	
442	Spectrogram 1	1	4154.805	4158.463	526.3	4842.1	Bird	
443	Spectrogram 1	1	4166.085	4187.719	0	8842.1	Buzz	
444	Spectrogram 1	1	4171.866	4174.976	3368.4	7789.5	Bird	
445	Spectrogram 1	1	4177.8	4246.092	2985.6	18258.4	Other animal	
446	Spectrogram 1	1	4186.988	4190.524	0	5578.9	Bird	
447	Spectrogram 1	1	4190.134	4192.634	1684.2	9052.6	Bird	
448	Spectrogram 1	1	4191.354	4193.976	3684.2	8315.8	Bird	
449	Spectrogram 1	1	4195.378	4197.512	0	6421.1	Bird	
450	Spectrogram 1	1	4198.427	4203.122	0	6947.4	Buzz	
451	Spectrogram 1	1	4206.11	4209.646	3052.6	7894.7	Bird	
452	Spectrogram 1	1	4221.171	4224.463	4000	9052.6	Bird	
453	Spectrogram 1	1	4223.183	4230.561	0	5894.7	Buzz	
454	Spectrogram 1	1	4238.061	4241.78	0	6736.8	Buzz	
455	Spectrogram 1	1	4243.159	4246.756	0	8421.1	Buzz	
456	Spectrogram 1	1	4245.922	4290.556	2411.5	18143.5	Other animal	
457	Spectrogram 1	1	4246.024	4248.524	3263.2	7578.9	Bird	
458	Spectrogram 1	1	4249.012	4260.11	0	5473.7	Buzz	
459	Spectrogram 1	1	4262.061	4264.622	0	6953.3	Buzz	
460	Spectrogram 1	1	4262.305	4278.646	0	4736.8	Buzz	
461	Spectrogram 1	1	4273.006	4276.604	3157.9	8000	Bird	
462	Spectrogram 1	1	4292.507	4354.092	2526.3	18028.7	Other animal	
463	Spectrogram 1	1	4293.646	4296.573	2000	7473.7	Bird	
464	Spectrogram 1	1	4295.049	4297.427	0	5789.5	Buzz	
465	Spectrogram 1	1	4297.707	4334.902	631.6	5157.9	Bird	low
466	Spectrogram 1	1	4312.707	4315.878	2152.5	9789.5	Bird	
467	Spectrogram 1	1	4319.171	4330.939	0	4842.1	Buzz	
468	Spectrogram 1	1	4335.634	4338.5	3263.2	8736.8	Bird	
469	Spectrogram 1	1	4339.598	4356.671	1049.2	5673	Bird	low
470	Spectrogram 1	1	4342.829	4345.207	0	5263.2	Buzz	
471	Spectrogram 1	1	4347.646	4350.512	0	5684.2	Buzz	
472	Spectrogram 1	1	4354.044	4418.556	2067	18488	Other animal	
473	Spectrogram 1	1	4354.445	4358.262	0	6210.5	Buzz	
474	Spectrogram 1	1	4357.561	4360.671	3052.6	8000	Bird	
475	Spectrogram 1	1	4360.854	4372.866	1052.6	5894.7	Bird	low
476	Spectrogram 1	1	4372.5	4375.549	0	5684.2	Buzz	
477	Spectrogram 1	1	4374.512	4377.378	2631.6	7473.7	Bird	
478	Spectrogram 1	1	4377.963	4381.012	0	6315.8	Buzz	
479	Spectrogram 1	1	4380.951	4409.488	1263.2	6631.6	Bird	low
480	Spectrogram 1	1	4387.78	4397.902	0	4842.1	Buzz	
481	Spectrogram 1	1	4409	4420.463	0	4842.1	Buzz	
482	Spectrogram 1	1	4412.171	4427.476	1473.7	6736.8	Bird	low
483	Spectrogram 1	1	4434.634	4437.134	0	6000	Buzz	
484	Spectrogram 1	1	4459.166	4519.361	2985.6	17913.9	Other animal	
485	Spectrogram 1	1	4464.427	4479.915	1684.2	7157.9	Bird	low
486	Spectrogram 1	1	4472.902	4475.585	2421.1	6631.6	Bird	
487	Spectrogram 1	1	4484.244	4493.268	0	10736.8	Buzz	
488	Spectrogram 1	1	4515.439	4530.317	1894.7	7157.9	Bird	low
489	Spectrogram 1	1	4534.91	4555.214	2229.5	18229.5	Other animal	
490	Spectrogram 1	1	4536.232	4546.841	1578.9	5368.4	Bird	low
491	Spectrogram 1	1	4546.11	4550.256	0	6315.8	Bird	
492	Spectrogram 1	1	4557.237	4564.097	1621.6	7459.5	Bird	low
493	Spectrogram 1	1	4564.341	4566.719	0	5894.7	Bird	
494	Spectrogram 1	1	4568.03	4571.18	1405.4	7027	Bird	low
495	Spectrogram 1	1	4577.087	4586.477	1189.2	6918.9	Bird	low
496	Spectrogram 1	1	4624.115	4626.26	0	9837.8	Buzz	
497	Spectrogram 1	1	4624.678	4678.092	3541	18229.5	Other animal	
498	Spectrogram 1	1	4626.839	4639.656	864.9	5945.9	Bird	low
499	Spectrogram 1	1	4637.27	4638.632	0	8540.5	Buzz	
500	Spectrogram 1	1	4641.705	4644.469	1837.8	7567.6	Bird	low
501	Spectrogram 1	1	4646.4	4648.615	0	4108.1	Buzz	
502	Spectrogram 1	1	4647.416	4648.9	1189.2	6918.9	Bird	low
503	Spectrogram 1	1	4655.628	4660.323	973	6918.9	Bird	
504	Spectrogram 1	1	4663.506	4665.443	600	7891.9	Bird	low
505	Spectrogram 1	1	4668.201	4669.603	108.1	8216.2	Buzz	
506	Spectrogram 1	1	4674.684	4683.166	1621.6	6054.1	Bird	
507	Spectrogram 1	1	4678.044	4786.092	3541	18754.1	Other animal	
508	Spectrogram 1	1	4693.558	4705.258	1189.2	5513.5	Bird	
509	Spectrogram 1	1	4715.026	4718.705	1405.4	7351.4	Bird	
510	Spectrogram 1	1	4720.727	4721.977	0	10810.8	Bird	
511	Spectrogram 1	1	4725.595	4787.429	973	5945.9	Bird	low
512	Spectrogram 1	1	4751.473	4752.693	0	7135.1	Buzz	
513	Spectrogram 1	1	4757.68	4758.615	0	5945.9	Buzz	
514	Spectrogram 1	1	4770.286	4775.51	0	2810.8	Buzz	
515	Spectrogram 1	1	4780.969	4783.144	0	3459.5	Buzz	
516	Spectrogram 1	1	4785.8	4894.092	3278.7	19016.4	Other animal	
517	Spectrogram 1	1	4787.412	4789.16	0	4756.8	Buzz	
518	Spectrogram 1	1	4789.824	4811.887	875	6918.9	Bird	low
519	Spectrogram 1	1	4798.42	4800.128	0	7459.5	Bird	
520	Spectrogram 1	1	4811.4	4818.229	609.1	10355.3	Bird	
521	Spectrogram 1	1	4818.228	4834.702	864.9	5729.7	Bird	low
522	Spectrogram 1	1	4819.51	4821.115	0	8648.6	Buzz	
523	Spectrogram 1	1	4832.876	4833.973	0	3243.2	Buzz	
524	Spectrogram 1	1	4834.745	4852.292	756.8	5729.7	Bird	
525	Spectrogram 1	1	4853.172	4856.038	0	4973	Bird	
526	Spectrogram 1	1	4856.201	4858.254	1513.5	6054.1	Bird	
527	Spectrogram 1	1	4865.207	4869.648	1351.4	6864.9	Bird	low
528	Spectrogram 1	1	4870.217	4872.534	0	8756.8	Buzz	
529	Spectrogram 1	1	4871.985	4880.52	756.8	7243.2	Bird	low
530	Spectrogram 1	1	4873.408	4874.241	0	6162.2	Buzz	
531	Spectrogram 1	1	4880.034	4884.292	0	9189.2	Buzz	
532	Spectrogram 1	1	4881.213	4889.745	973	7027	Bird	low
533	Spectrogram 1	1	4892.392	4909.528	1405.4	6594.6	Bird	low
534	Spectrogram 1	1	4893.922	4935.873	4065.6	19016.4	Other animal	
535	Spectrogram 1	1	4910.089	4912.142	1081.1	6594.6	Bird	
536	Spectrogram 1	1	4912.392	4921.024	1405.4	6054.1	Bird	
537	Spectrogram 1	1	4922.467	4925.562	1621.6	7027	Bird	
538	Spectrogram 1	1	4925.44	4927.514	2000	6000	Bird	
539	Spectrogram 1	1	4927.27	4933.123	1081.1	6054.1	Bird	
540	Spectrogram 1	1	4933.845	4940.079	1049.2	7082	Bird	
541	Spectrogram 1	1	4935.288	4938.743	1081.1	6378.4	Bird	low
542	Spectrogram 1	1	4940.422	4942.048	1405.4	8756.8	Bird	
543	Spectrogram 1	1	4941.865	4945.199	1081.1	6702.7	Bird	
544	Spectrogram 1	1	4942.58	5011.19	3409.8	19278.7	Other animal	
545	Spectrogram 1	1	4944.356	4948.369	1081.1	8432.4	Bird	
546	Spectrogram 1	1	4949.264	4950.869	2162.2	6810.8	Bird	
547	Spectrogram 1	1	4950.849	4952.841	973	6486.5	Bird	
548	Spectrogram 1	1	4952.841	4954.243	1297.3	6162.2	Bird	
549	Spectrogram 1	1	4955.28	4956.66	2162.2	6162.2	Bird	
550	Spectrogram 1	1	4957.394	4958.695	1081.1	7135.1	Bird	
551	Spectrogram 1	1	4961.044	4964.844	2162.2	6810.8	Bird	
552	Spectrogram 1	1	4961.087	4964.502	0	2702.7	Buzz	
553	Spectrogram 1	1	4962.203	4963.991	1405.4	5189.2	Bird	
554	Spectrogram 1	1	4965.495	4966.451	1945.9	5945.9	Bird	
555	Spectrogram 1	1	4966.837	4968.981	1189.2	6918.9	Bird	
556	Spectrogram 1	1	4967.691	4971.004	1297.3	5513.5	Bird	low
557	Spectrogram 1	1	4968.475	4971.422	0	2270.3	Buzz	
558	Spectrogram 1	1	4969.296	4970.028	2162.2	7027	Bird	
559	Spectrogram 1	1	4971.004	4972.934	1513.5	5729.7	Bird	
560	Spectrogram 1	1	4975.562	4992.039	1405.4	6378.4	Bird	low
561	Spectrogram 1	1	4991.686	4994.451	540.5	6702.7	Bird	
562	Spectrogram 1	1	4994.844	5004.463	1000	6750	Bird	
563	Spectrogram 1	1	5004.158	5005.174	1837.8	6054.1	Bird	
564	Spectrogram 1	1	5005.357	5007.004	2162.2	6162.2	Bird	
565	Spectrogram 1	1	5006.983	5011.917	1405.4	6486.5	Bird	
566	Spectrogram 1	1	5010.824	5110.092	3278.7	19803.3	Other animal	
567	Spectrogram 1	1	5013.835	5018.503	1567.6	6432.4	Bird	
568	Spectrogram 1	1	5020.654	5021.772	540.5	7783.8	Bird	
569	Spectrogram 1	1	5022.687	5024.008	1513.5	6162.2	Bird	
570	Spectrogram 1	1	5025.187	5026.325	216.2	8756.8	Bird	
571	Spectrogram 1	1	5027.727	5028.54	1513.5	6594.6	Bird	
572	Spectrogram 1	1	5028.439	5029.069	3891.9	8648.6	Bird	
573	Spectrogram 1	1	5029.234	5032.873	973	5125	Bird	
574	Spectrogram 1	1	5030.17	5035.82	2378.4	6378.4	Bird	
575	Spectrogram 1	1	5038.503	5044.735	540.5	6000	Bird	
576	Spectrogram 1	1	5042.174	5043.13	1837.8	5945.9	Bird	
577	Spectrogram 1	1	5044.451	5046.912	2162.2	6810.8	Bird	
578	Spectrogram 1	1	5047.156	5053.536	1297.3	5729.7	Bird	
579	Spectrogram 1	1	5053.394	5054.329	2054.1	5837.8	Bird	
580	Spectrogram 1	1	5055.174	5056.699	0	5945.9	Buzz	
581	Spectrogram 1	1	5057.593	5062.654	432.4	6486.5	Bird	
582	Spectrogram 1	1	5064.583	5071.577	756.8	5837.8	Bird	
583	Spectrogram 1	1	5073.54	5075.756	0	10162.2	Buzz	
584	Spectrogram 1	1	5077.565	5103.973	625	5729.7	Bird	
585	Spectrogram 1	1	5104.06	5108.329	864.9	6594.6	Bird	low
586	Spectrogram 1	1	5109.601	5114.54	540.5	4648.6	Bird	
587	Spectrogram 1	1	5110.044	5326.092	2098.4	20065.6	Other animal	
588	Spectrogram 1	1	5116.682	5123.971	973	5189.2	Bird	low
589	Spectrogram 1	1	5123.015	5124.865	0	5837.8	Buzz	
590	Spectrogram 1	1	5128.272	5156.201	1513.5	8000	Bird	low
591	Spectrogram 1	1	5147.369	5150.703	0	6810.8	Buzz	
592	Spectrogram 1	1	5152.837	5155.134	0	4864.9	Buzz	
593	Spectrogram 1	1	5158.274	5182.65	1081.1	6810.8	Bird	low
594	Spectrogram 1	1	5184.288	5189.512	1081.1	5945.9	Bird	
595	Spectrogram 1	1	5191.768	5194.878	756.8	7027	Bird	
596	Spectrogram 1	1	5198.394	5208.485	756.8	7459.5	Bird	
597	Spectrogram 1	1	5204.461	5207.876	702.7	7513.5	Bird	
598	Spectrogram 1	1	5216.394	5219.321	973	7783.8	Bird	
599	Spectrogram 1	1	5222.266	5227.144	1621.6	6125	Bird	low
600	Spectrogram 1	1	5228.5	5243.729	756.8	6810.8	Bird	
601	Spectrogram 1	1	5247.837	5269.544	648.6	7135.1	Bird	low
602	Spectrogram 1	1	5262.264	5263.89	0	6486.5	Bird	
603	Spectrogram 1	1	5274.126	5276.849	1081.1	5189.2	Bird	low
604	Spectrogram 1	1	5281.178	5288.569	1513.5	6162.2	Bird	
605	Spectrogram 1	1	5286.739	5290.398	0	4216.2	Bird	
606	Spectrogram 1	1	5293.609	5301.861	864.9	5729.7	Bird	low
607	Spectrogram 1	1	5305.032	5306.617	0	7891.9	Bird	
608	Spectrogram 1	1	5307.71	5336.559	864.9	6270.3	Bird	low
609	Spectrogram 1	1	5309	5309.853	0	2918.9	Bird	
610	Spectrogram 1	1	5326.166	5338.361	1836.1	19803.3	Other animal	
611	Spectrogram 1	1	5337.034	5338.538	0	3675.7	Buzz	
612	Spectrogram 1	1	5340.949	5342.026	0	7243.2	Buzz	
613	Spectrogram 1	1	5349.79	5357.507	540.5	5621.6	Bird	low
614	Spectrogram 1	1	5352.751	5383.727	1836.1	20327.9	Other animal	
615	Spectrogram 1	1	5361.532	5363.605	1297.3	7675.7	Bird	low
616	Spectrogram 1	1	5372.315	5377.985	0	7351.4	Buzz	
617	Spectrogram 1	1	5379.632	5382.924	864.9	6162.2	Bird	low
618	Spectrogram 1	1	5388.727	5434.092	3803.3	16524.6	Other animal	
619	Spectrogram 1	1	5392.404	5489.76	756.8	6918.9	Bird	low
620	Spectrogram 1	1	5434.166	5567.532	3803.3	18098.4	Other animal	
621	Spectrogram 1	1	5443.213	5445.896	0	3854.9	Bird	
622	Spectrogram 1	1	5490.217	5491.599	0	7783.8	Buzz	
623	Spectrogram 1	1	5491.142	5499.678	864.9	6810.8	Bird	low
624	Spectrogram 1	1	5499.575	5504.168	0	6486.5	Buzz	
625	Spectrogram 1	1	5504.941	5506.993	1621.6	6378.4	Bird	
626	Spectrogram 1	1	5505.892	5520.221	0	3459.5	Buzz	
627	Spectrogram 1	1	5509.713	5518.093	1513.5	6702.7	Bird	low
628	Spectrogram 1	1	5524.278	5525.741	0	11783.8	Buzz	
629	Spectrogram 1	1	5528.628	5530.863	1621.6	7567.6	Bird	
630	Spectrogram 1	1	5533.14	5538.16	864.9	5405.4	Bird	low
631	Spectrogram 1	1	5538.282	5557.078	0	5837.8	Buzz	
632	Spectrogram 1	1	5546.873	5548.743	1405.4	5837.8	Bird	low
633	Spectrogram 1	1	5561.094	5567.415	1513.5	8108.1	Bird	low
634	Spectrogram 1	1	5566.257	5573.797	0	5189.2	Buzz	
635	Spectrogram 1	1	5567.449	5683.837	3135.1	13837.8	Other animal	
636	Spectrogram 1	1	5569.692	5573.574	1837.8	6702.7	Bird	low
637	Spectrogram 1	1	5574.448	5575.525	0	7243.2	Bird	
638	Spectrogram 1	1	5576.411	5579.053	1729.7	7783.8	Bird	low
639	Spectrogram 1	1	5580.354	5581.248	0	5189.2	Bird	
640	Spectrogram 1	1	5583.342	5586.187	0	4648.6	Buzz	
641	Spectrogram 1	1	5588.017	5590.761	0	3675.7	Buzz	
642	Spectrogram 1	1	5594.476	5595.858	1405.4	7135.1	Bird	
643	Spectrogram 1	1	5597.801	5601.114	1081.1	7567.6	Bird	
644	Spectrogram 1	1	5601.08	5676.533	973	7000	Bird	low
645	Spectrogram 1	1	5604.622	5607.102	0	6594.6	Buzz	
646	Spectrogram 1	1	5609.942	5611.425	0	7027	Buzz	
647	Spectrogram 1	1	5611.582	5614.047	432.4	9513.5	Bird	
648	Spectrogram 1	1	5624.608	5628.023	324.3	8864.9	Bird	
649	Spectrogram 1	1	5627.75	5636.877	0	3135.1	Buzz	
650	Spectrogram 1	1	5635.901	5639.072	864.9	8756.8	Bird	
651	Spectrogram 1	1	5647.966	5651.076	540.5	9297.3	Bird	
652	Spectrogram 1	1	5651.584	5657.051	0	3891.9	Buzz	
653	Spectrogram 1	1	5656.289	5662.425	648.6	11351.4	Bird	
654	Spectrogram 1	1	5665.68	5672.316	864.9	8000	Bird	
655	Spectrogram 1	1	5667.031	5669.368	0	6378.4	Buzz	
656	Spectrogram 1	1	5674.531	5676.401	0	7783.8	Buzz	
657	Spectrogram 1	1	5678.454	5681.36	648.6	8973	Bird	
658	Spectrogram 1	1	5683.838	5756.643	2754.1	15027	Other animal	
659	Spectrogram 1	1	5688.364	5691.474	0	6486.5	Buzz	
660	Spectrogram 1	1	5690.905	5694.34	864.9	7351.4	Bird	
661	Spectrogram 1	1	5695.62	5697.875	0	6266	Buzz	
662	Spectrogram 1	1	5700.076	5703.429	756.8	9297.3	Bird	
663	Spectrogram 1	1	5706.673	5708.543	1297.3	7567.6	Bird	low
664	Spectrogram 1	1	5708.381	5711.653	1081.1	8540.5	Bird	
665	Spectrogram 1	1	5716.868	5718.474	0	7135.1	Buzz	
666	Spectrogram 1	1	5719.124	5721.543	1513.5	8000	Bird	low
667	Spectrogram 1	1	5724.003	5727.478	864.9	8000	Bird	
668	Spectrogram 1	1	5724.998	5726.401	0	4540.5	Buzz	
669	Spectrogram 1	1	5729.003	5731.523	0	6918.9	Bird	
670	Spectrogram 1	1	5732.755	5737.064	0	5405.4	Bird	low
671	Spectrogram 1	1	5737.246	5740.377	540.5	10270.3	Bird	
672	Spectrogram 1	1	5741.942	5749.137	540.5	6162.2	Bird	low
673	Spectrogram 1	1	5748.702	5752.259	756.8	9081.1	Bird	
674	Spectrogram 1	1	5761.1	5763.173	0	10162.2	Buzz	
675	Spectrogram 1	1	5764.238	5767.897	540.5	10162.2	Bird	
676	Spectrogram 1	1	5768.092	5770.612	1189.2	8540.5	Bird	
677	Spectrogram 1	1	5769.277	5874.765	4459	18623	Other animal	
678	Spectrogram 1	1	5772.096	5773.316	0	4540.5	Bird	
679	Spectrogram 1	1	5772.604	5773.6	1081.1	7891.9	Bird	
680	Spectrogram 1	1	5773.681	5780.755	756.8	6594.6	Bird	low
681	Spectrogram 1	1	5781.059	5783.153	756.8	7027	Bird	
682	Spectrogram 1	1	5783.275	5786.446	540.5	10918.9	Bird	
683	Spectrogram 1	1	5786.559	5793.019	0	6702.7	Buzz	
684	Spectrogram 1	1	5790.462	5792.616	973	7891.9	Bird	
685	Spectrogram 1	1	5793.653	5796.478	648.6	9513.5	Bird	
686	Spectrogram 1	1	5796.681	5800.604	1297.3	8973	Bird	
687	Spectrogram 1	1	5801.62	5805.055	540.5	8648.6	Bird	
688	Spectrogram 1	1	5810.657	5814.844	973	7351.4	Bird	
689	Spectrogram 1	1	5811.511	5814.255	0	3783.8	Buzz	
690	Spectrogram 1	1	5816.226	5819.62	1513.5	7675.7	Bird	low
691	Spectrogram 1	1	5817.425	5819.763	0	2810.8	Buzz	
692	Spectrogram 1	1	5819.519	5821.897	864.9	7675.7	Bird	
693	Spectrogram 1	1	5821.86	5830.641	973	6054.1	Bird	
694	Spectrogram 1	1	5829.238	5835.072	0	3567.6	Buzz	
695	Spectrogram 1	1	5833.75	5837.043	864.9	7675.7	Bird	
696	Spectrogram 1	1	5836.962	5839.299	0	3567.6	Buzz	
697	Spectrogram 1	1	5836.982	5841.478	973	6702.7	Bird	
698	Spectrogram 1	1	5841.641	5844.872	864.9	8540.5	Bird	
699	Spectrogram 1	1	5845.97	5847.433	0	5513.5	Buzz	
700	Spectrogram 1	1	5846.844	5850.97	864.9	7351.4	Bird	
701	Spectrogram 1	1	5849.848	5855.584	0	3891.9	Buzz	
702	Spectrogram 1	1	5857.137	5860.328	1621.6	7675.7	Bird	
703	Spectrogram 1	1	5860.267	5863.194	864.9	7567.6	Bird	
704	Spectrogram 1	1	5863.275	5867.889	756.8	6378.4	Bird	
705	Spectrogram 1	1	5865.824	5869.97	0	8985.2	Buzz	
706	Spectrogram 1	1	5869.698	5871.405	1081.1	5729.7	Bird	
707	Spectrogram 1	1	5870.551	5873.885	648.6	8973	Bird	
708	Spectrogram 1	1	5873.733	5877.942	540.5	6702.7	Bird	
709	Spectrogram 1	1	5874.838	5922.643	2885.2	18885.2	Other animal	
710	Spectrogram 1	1	5877.698	5887.409	0	8394.1	Buzz	
711	Spectrogram 1	1	5882.043	5884.482	0	6857.1	Bird	
712	Spectrogram 1	1	5886.437	5890.279	625	8973	Bird	
713	Spectrogram 1	1	5895.685	5896.702	0	8108.1	Buzz	
714	Spectrogram 1	1	5896.702	5899.527	432.4	8432.4	Bird	
715	Spectrogram 1	1	5900.007	5902.263	1189.2	6162.2	Bird	low
716	Spectrogram 1	1	5901.49	5902.974	0	8000	Bird	
717	Spectrogram 1	1	5908.474	5909.998	0	6594.6	Bird	
718	Spectrogram 1	1	5913.86	5915.242	0	12648.6	Bird	
719	Spectrogram 1	1	5920.141	5921.462	0	7243.2	Bird	
720	Spectrogram 1	1	5926.897	5927.811	0	6378.4	Bird	
721	Spectrogram 1	1	5927.702	5930.08	1081.1	7567.6	Bird	
722	Spectrogram 1	1	5927.887	5982.765	2885.2	18754.1	Other animal	
723	Spectrogram 1	1	5928.454	5932.458	0	2162.2	Buzz	
724	Spectrogram 1	1	5934.206	5935.547	0	5729.7	Bird	
725	Spectrogram 1	1	5936.563	5939.348	973	6918.9	Bird	
726	Spectrogram 1	1	5939.897	5941.096	0	6810.8	Bird	
727	Spectrogram 1	1	5945.019	5946.909	0	6810.8	Bird	
728	Spectrogram 1	1	5947.084	5951.25	756.8	7135.1	Bird	
729	Spectrogram 1	1	5950.173	5951.007	0	4648.6	Bird	
730	Spectrogram 1	1	5955.234	5957.185	0	5405.4	Bird	
731	Spectrogram 1	1	5958.73	5961.271	1405.4	6702.7	Bird	
732	Spectrogram 1	1	5962.531	5966.088	864.9	6054.1	Bird	
733	Spectrogram 1	1	5965.885	5966.86	0	7351.4	Bird	
734	Spectrogram 1	1	5968.568	5973.191	864.9	7567.6	Bird	
735	Spectrogram 1	1	5977.279	5979.007	0	9945.9	Bird	
736	Spectrogram 1	1	5978.803	5982.665	648.6	9405.4	Bird	
737	Spectrogram 1	1	5982.543	5991.728	756.8	7027	Bird	
738	Spectrogram 1	1	5991.47	5995.677	864.9	7783.8	Bird	
739	Spectrogram 1	1	5996.653	6000.352	973	6810.8	Bird	low
740	Spectrogram 1	1	6001.836	6007.872	1513.5	7243.2	Bird	low
741	Spectrogram 1	1	6004.234	6029.854	2701.1	17233.3	Other animal	
742	Spectrogram 1	1	6007.702	6010.71	1189.2	8648.6	Bird	
743	Spectrogram 1	1	6015.169	6029.81	880.7	6605.5	Bird	low
744	Spectrogram 1	1	6037.47	6040.255	990.8	6385.3	Bird	
745	Spectrogram 1	1	6039.32	6053.507	0	6825.7	Buzz	
746	Spectrogram 1	1	6065.594	6076.194	0	6960	Bird	low
747	Spectrogram 1	1	6083.186	6090.848	990.8	7596.3	Bird	low
748	Spectrogram 1	1	6104.805	6150.659	3147.5	18098.4	Other animal	
749	Spectrogram 1	1	6123.19	6128.718	0	7266.1	Bird	
750	Spectrogram 1	1	6129.523	6131.921	1211	7045.9	Bird	
751	Spectrogram 1	1	6134.056	6145.253	1100.9	7596.3	Bird	low
