Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Sound category	Additional information
1	Spectrogram 1	1	1.585	59.573	600	5473.7	Bird	low
2	Spectrogram 1	1	2.973	80.579	4886.6	16144.3	Other animal	
3	Spectrogram 1	1	12.927	17.378	0	4000	Buzz	
4	Spectrogram 1	1	20.793	23.415	0	4000	Buzz	
5	Spectrogram 1	1	38.415	45.305	0	4842.1	Buzz	
6	Spectrogram 1	1	48.719	50.976	0	17789.5	Buzz	
7	Spectrogram 1	1	52.012	57.5	0	4210.5	Buzz	
8	Spectrogram 1	1	59.488	76.927	842.1	5684.2	Bird	low
9	Spectrogram 1	1	63.939	66.402	0	2520	Bird	
10	Spectrogram 1	1	84.061	91.652	0	3960	Bird	low
11	Spectrogram 1	1	88.451	155.704	4440	16800	Other animal	
12	Spectrogram 1	1	95.707	105.951	210.5	6736.8	Bird	
13	Spectrogram 1	1	108.915	120.256	1157.9	5789.5	Bird	low
14	Spectrogram 1	1	116.841	126.902	0	5473.7	Bird	
15	Spectrogram 1	1	126.354	136.598	736.8	5789.5	Bird	low
16	Spectrogram 1	1	129.829	135.317	0	4281.7	Buzz	
17	Spectrogram 1	1	145.53	149.372	0	4210.5	Bird	
18	Spectrogram 1	1	149.494	153.61	0	5368.4	Buzz	
19	Spectrogram 1	1	156.71	186.527	4200	16320	Other animal	
20	Spectrogram 1	1	158.914	162.573	0	4315.8	Buzz	
21	Spectrogram 1	1	161.232	168	631.6	6842.1	Bird	low
22	Spectrogram 1	1	169.012	173.402	0	5157.9	Buzz	
23	Spectrogram 1	1	175.171	212.793	1052.6	6210.5	Bird	low
24	Spectrogram 1	1	193.89	212.183	0	4631.6	Buzz	
25	Spectrogram 1	1	194.027	223.463	3960	15840	Other animal	
26	Spectrogram 1	1	216.305	250.512	720	5473.7	Bird	low
27	Spectrogram 1	1	226.003	297.07	4920	14280	Other animal	
28	Spectrogram 1	1	243.256	245.512	0	6736.8	Buzz	
